bone,start,end,status,length_mm,gt_length_mm,error_mm,abs_error_mm,start_sources,end_sources
wrist_thumb_cmc,0,1,ok,51.05262762564443,52,-0.9473723743555666,0.9473723743555666,cam1+cam2+cam3+cam4,cam1+cam4
thumb_cmc_mcp,1,2,ok,35.12065541997806,38.5,-3.379344580021943,3.379344580021943,cam1+cam4,cam1+cam4
thumb_mcp_ip,2,3,ok,28.37537928833464,31.5,-3.1246207116653615,3.1246207116653615,cam1+cam4,cam1+cam4
thumb_ip_tip,3,4,ok,23.664993379068758,30,-6.335006620931242,6.335006620931242,cam1+cam4,cam1+cam4
wrist_index_mcp,0,5,ok,71.7726121758715,89.7,-17.927387824128502,17.927387824128502,cam1+cam2+cam3+cam4,cam1+cam2+cam3+cam4
index_mcp_pip,5,6,ok,49.561789852251614,39,10.561789852251614,10.561789852251614,cam1+cam2+cam3+cam4,cam1+cam2+cam3+cam4
index_pip_dip,6,7,ok,26.288954650887824,16.5,9.788954650887824,9.788954650887824,cam1+cam2+cam3+cam4,cam1+cam2+cam3+cam4
index_dip_tip,7,8,ok,17.810137510241226,20,-2.1898624897587737,2.1898624897587737,cam1+cam2+cam3+cam4,cam1+cam2+cam4
wrist_middle_mcp,0,9,ok,69.807299471711,84.8,-14.992700528288992,14.992700528288992,cam1+cam2+cam3+cam4,cam1+cam2+cam3+cam4
middle_mcp_pip,9,10,ok,53.545738260324974,46.066,7.479738260324972,7.479738260324972,cam1+cam2+cam3+cam4,cam1+cam2+cam3+cam4
middle_pip_dip,10,11,ok,22.50852803947297,21.2,1.3085280394729715,1.3085280394729715,cam1+cam2+cam3+cam4,cam2+cam3+cam4
middle_dip_tip,11,12,ok,38.48701258602566,21,17.487012586025664,17.487012586025664,cam2+cam3+cam4,cam2+cam4
wrist_ring_mcp,0,13,ok,63.32944936114344,84.2,-20.870550638856564,20.870550638856564,cam1+cam2+cam3+cam4,cam2+cam3+cam4
ring_mcp_pip,13,14,ok,50.91821253381533,43.8,7.118212533815331,7.118212533815331,cam2+cam3+cam4,cam2+cam3+cam4
ring_pip_dip,14,15,ok,39.62715857123713,19.69,19.93715857123713,19.93715857123713,cam2+cam3+cam4,cam2+cam3+cam4
ring_dip_tip,15,16,missing_triangulated_endpoint,,,,,cam2+cam3+cam4,cam3
wrist_pinky_mcp,0,17,ok,65.84287856798672,80,-14.157121432013284,14.157121432013284,cam1+cam2+cam3+cam4,cam2+cam3+cam4
pinky_mcp_pip,17,18,ok,46.51065049825462,36.8,9.710650498254623,9.710650498254623,cam2+cam3+cam4,cam1+cam2+cam3+cam4
pinky_pip_dip,18,19,ok,31.20268343334461,15.2,16.00268343334461,16.00268343334461,cam1+cam2+cam3+cam4,cam1+cam2
pinky_dip_tip,19,20,missing_triangulated_endpoint,,,,,cam1+cam2,cam1
