combo,camera_count,num_keypoints,num_bones,bone_abs_error_mean_mm,bone_abs_error_median_mm,bone_abs_error_max_mm,reprojection_mean_px,reprojection_median_px,method
cam1+cam2,2,9,7,8.161480032582885,8.677217660248317,16.93732761327594,6.823752981859307,7.515781671167724,fixed_camera_combo
cam1+cam3,2,7,5,11.246862560731484,11.211225926423857,16.392012331514877,6.213494587768706,6.385634292347705,fixed_camera_combo
cam1+cam4,2,12,10,7.320276223438536,6.562315622987052,18.39371258067716,11.126652751366256,10.83138821443405,fixed_camera_combo
cam2+cam3,2,12,11,11.74037854638135,11.025021612276571,18.185409185163532,1.16778887332941,1.0375857337897454,fixed_camera_combo
cam2+cam4,2,14,13,11.501480633239598,9.996888751196948,18.932031295658444,1.1608385830187837,0.903822130402771,fixed_camera_combo
cam3+cam4,2,12,11,12.431159303855146,11.16103765011512,21.190963384356525,1.6323536842206117,1.232650079654106,fixed_camera_combo
cam1+cam2+cam3,3,7,5,11.494452861886412,10.274799165046996,16.583338102749778,7.1938955166164975,7.800672432511116,fixed_camera_combo
cam1+cam2+cam4,3,8,6,9.98816287426691,9.201554984415264,18.00807003172966,9.203881462019973,6.226320448989243,fixed_camera_combo
cam1+cam3+cam4,3,7,5,12.235617548067037,11.278397362308105,17.948176441518726,9.67262737812364,7.971181699640137,fixed_camera_combo
cam2+cam3+cam4,3,12,11,11.599872185395355,10.78315104578104,19.93715857123713,3.1271245618505383,2.819131236719736,fixed_camera_combo
cam1+cam2+cam3+cam4,4,7,5,12.15011422317638,10.561789852251614,17.927387824128502,8.317490495326767,6.348812615868379,fixed_camera_combo
all_available_per_joint,mixed,19,18,10.184371979201943,9.749802574571223,20.870550638856564,6.606771527019769,4.947333544832051,all_available_per_joint
